#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2175000,-79.83718240104577,327.04058179505375,31.7
2200000,-74.61139873632268,251.0393504748788,31.7
2225000,-59.971608560286825,438.3401418761656,31.7
2250000,-69.78575074055288,358.3803363726562,31.7
2275000,-95.12508922164224,274.3288605149448,31.7
2300000,-80.28776903375548,302.33341982721964,31.7
2325000,-80.43301538733422,321.3844479217667,31.7
2350000,-75.57682491410395,345.8347278240303,31.7
2375000,-82.30853721735971,308.18153503357604,31.7
2400000,-96.90446422853654,259.07054424572016,31.7
2425000,-70.73675476357894,317.75605623348105,31.7
2450000,-64.59231022596687,296.03909364410765,31.7
2475000,-87.94208343572555,362.27774497689813,31.7
2500000,-92.5626787862102,337.3705516720955,31.7
2525000,-70.29381839770213,416.7540514861158,31.7
2550000,-88.35950600630767,378.92871255846137,31.7
2575000,-89.2444170193674,303.4454043135583,31.7
2600000,-73.9222410465026,228.96396762457422,31.7
2625000,-79.74931874762262,336.0642078987052,31.7
2650000,-73.53817130062865,241.14737435414662,31.7
2675000,-79.2332542551775,255.93249636931205,31.7
2700000,-61.080648713241274,249.00312554907626,31.7
2725000,-87.73490152374535,319.4691303784829,31.7
2750000,-92.71091575424012,306.8519794869086,31.6
2775000,-105.10140624324724,275.690282757729,31.6
2800000,-97.32974868773405,306.49449737733084,31.6
2825000,-86.80872255341448,412.0766570340702,31.6
2850000,-90.62187061180487,286.2761026272148,31.6
2875000,-42.422671429847966,375.4910768239695,31.6
2900000,-45.41088509666921,220.35115076835473,31.6
2925000,-82.25085679161464,214.69032464300335,31.6
2950000,-63.93673414661952,316.1139697503889,31.6
2975000,-73.59976131728425,267.6966406845739,31.6
3000000,-81.41150968371204,342.8071046212777,31.6
3025000,-68.80343428688528,214.9385501121887,31.6
3050000,-78.44002875475877,296.70132197752054,31.6
3075000,-59.66531054466216,261.04360168794886,31.6
3100000,-69.34812579906684,270.9571543053047,31.6
3125000,-60.14163489012088,401.04041381707145,31.6
3150000,-77.62554412728021,256.72293290419185,31.6
3175000,-104.73826347596096,402.7791743053032,31.6
3200000,-84.14719557076987,466.02362583109834,31.6
3225000,-79.98515909770177,212.80376425293062,31.6
3250000,-70.62839472885504,295.6436579014366,31.6
3275000,-82.26049849497105,312.7568428040227,31.6
3300000,-80.01141716126496,315.3923803307849,31.6
3325000,-80.317316321282,261.8758549600069,31.6
3350000,-89.94438613553064,384.8662437415978,31.6
3375000,-78.2474905505781,290.81485335333906,31.6
3400000,-79.72890997837392,360.53697210764733,31.6
3425000,-100.12243067025716,214.45920497098098,31.6
3450000,-83.62332698032614,237.8699718592835,31.6
3475000,-87.9707577688987,255.10709949242337,31.6
3500000,-97.08959128971169,368.12141103425125,31.6
3525000,-73.60659868345545,305.622504824922,31.6
3550000,-56.83075066514911,189.49358536413612,31.6
3575000,-77.14950279550683,299.6614249389315,31.6
3600000,-92.47526031678609,262.85497794820714,31.6
3625000,-70.70381788640242,343.7648722099859,31.6
3650000,-83.87379245702559,195.61056745137284,31.6
3675000,-90.55112334883005,287.5524706259453,31.6
3700000,-79.09717189297865,363.8293668092404,31.6
3725000,-64.07823275798722,352.473374388396,31.6
3750000,-70.82435632822745,344.49094137620324,31.6
3775000,-60.55394939717048,446.6494055224222,31.6
3800000,-106.06831417070482,294.5677583515157,31.6
3825000,-98.12020345433695,352.23994660078193,31.6
3850000,-81.48544057370293,239.7980860434548,31.6
3875000,-67.44126776346275,229.4738293948627,31.6
3900000,-68.13591696449518,350.28942719870014,31.6
3925000,-101.39378361556516,339.351754033363,31.6
3950000,-61.94391389218963,267.43676323453144,31.6
3975000,-55.76723226448082,247.15875812684527,31.6
4000000,-77.46986314140486,260.8676947941749,31.6
4025000,-81.2867654405205,322.77573312469826,31.6
4050000,-90.31456787252664,302.9397529229075,31.6
4075000,-83.50933259679208,324.0672852944449,31.6
4100000,-93.191321107989,407.5934078635857,31.6
4125000,-88.41221227367816,221.7859858406282,31.6
4150000,-75.11581382969902,273.4811865858318,31.6
4175000,-68.66277188466529,393.8994368137821,31.6
4200000,-88.28819195427769,354.0868923621947,31.5
4225000,-90.8730017419434,226.84419503938466,31.5
4250000,-78.20449281700539,268.791886455716,31.5
4275000,-87.77846234309614,262.6178587325575,31.5
4300000,-66.03351477160146,249.40292855867665,31.5
4325000,-82.73743803021279,354.3418804934251,31.5
4350000,-73.4082588903929,319.4999174357287,31.5
4375000,-82.29462515540513,348.16688896879,31.5
4400000,-88.15148081196858,289.6312902116264,31.5
4425000,-83.17876075976591,286.35596626631406,31.5
4450000,-81.69840572481154,320.4072668262363,31.5
4475000,-79.54418163334606,349.04819779703996,31.5
4500000,-84.81651592629261,285.72899892119284,31.5
4525000,-88.72883900922753,338.52499422867004,31.5
4550000,-70.57571149695085,236.58774062329547,31.5
4575000,-80.93346103684958,287.4401842152296,31.5
4600000,-69.93776399055898,228.04220795634143,31.5
4625000,-81.43903458081058,247.33915810603347,31.5
4650000,-70.76885134187485,415.5101875510793,31.5
4675000,-93.74066273818507,253.9179959614558,31.5
4700000,-90.25476140772642,267.55252751362065,31.5
4725000,-80.07504002707758,297.77389451433163,31.5
4750000,-96.20455715735474,231.21636302767712,31.5
4775000,-100.83582674819704,270.83218723083587,31.5
4800000,-79.80490377338796,324.97520885154677,31.5
4825000,-88.33170370498851,411.01685591819063,31.5
4850000,-85.83618095686546,334.6578321740497,31.5
4875000,-56.91618484224695,403.28074344881986,31.5
4900000,-84.00096518057559,251.66354239151434,31.5
4925000,-72.1123563396445,264.3591613311792,31.5
4950000,-78.62865223344049,181.71079493030854,31.5
4975000,-86.6366428084381,205.80165735699933,31.5
5000000,-78.16384830711212,331.52284666913204,31.5
5025000,-99.03131631405569,196.99708732462457,31.5
5050000,-91.8260586083285,292.0135413795419,31.5
5075000,-95.57716563630456,229.65922785711973,31.5
5100000,-80.37484351664838,286.491209301508,31.5
5125000,-86.97388305020135,310.6895601680774,31.5
5150000,-89.71315318614829,227.95120391870535,31.5
5175000,-101.11053715972054,350.82166723795063,31.5
5200000,-70.73298886545513,259.7822909516938,31.5
5225000,-84.92067045677949,325.8024117610472,31.5
5250000,-60.53596958595192,208.1507976361747,31.5
5275000,-75.46675589077768,348.58636088146517,31.4
5300000,-100.97404905104398,440.800322045986,31.4
5325000,-67.71187204045734,273.05687990523353,31.4
5350000,-79.90854624567602,196.81160680823194,31.4
5375000,-83.13170305870864,340.90812472962875,31.4
5400000,-74.8421626794377,342.5887906421326,31.4
5425000,-85.35378291951977,243.11909364853028,31.4
5450000,-79.76325047448576,337.93296415951784,31.4
5475000,-81.66717866621241,187.9018430313298,31.4
5500000,-73.87527343732428,271.86596549614075,31.5
5525000,-93.37331521351194,264.6772003434898,31.5
5550000,-45.7361883365773,304.45426162297844,31.5
5575000,-79.316918110156,316.2055041203028,31.5
5600000,-96.79871392240946,296.27674640021024,31.5
5625000,-82.37738472582004,218.43311213451466,31.5
5650000,-76.76252222611527,200.11605684643692,31.5
5675000,-75.97566825260613,253.70448989586652,31.5
5700000,-86.68839962772759,276.1092649977959,31.5
5725000,-74.54494978544466,279.4722398631107,31.5
5750000,-61.45116292998941,336.4880788651833,31.5
5775000,-89.97992410928791,283.4644834508039,31.5
5800000,-91.85208152424191,281.23010658333027,31.5
5825000,-83.77283051653023,221.60222980443055,31.5
5850000,-82.99827649430112,327.06573156838203,31.5
5875000,-80.98217387139114,295.16513078630163,31.5
5900000,-105.86579796719238,263.5006034581676,31.5
5925000,-84.88014432186165,341.80326744136096,31.5
5950000,-85.92272151668405,294.0639974426632,31.5
5975000,-68.72486326452874,322.15724292762945,31.5
6000000,-91.52524554374605,357.73455768774437,31.5
6025000,-62.46595693289274,353.8785109141288,31.5
6050000,-66.8623767475984,205.12225675191613,31.5
6075000,-90.79214119684656,263.36775247310777,31.5
6100000,-49.47688643292931,339.8685035720725,31.5
6125000,-85.09479268966892,412.36496542119346,31.5
6150000,-74.41322124682142,338.6477190058659,31.5
6175000,-80.74706549110249,299.7030331837254,31.5
6200000,-71.48308801278372,309.56993180963127,31.5
6225000,-55.125111895498264,269.1010269635241,31.5
6250000,-86.41470093000859,328.1669996422122,31.5
6275000,-85.13236358547535,325.59872896352533,31.5
6300000,-85.44854308171597,269.61117294699545,31.5
6325000,-88.91836063955402,359.0765476460301,31.5
6350000,-90.8177673364496,371.1361184551094,31.5
6375000,-85.06832968922879,319.13794344790097,31.5
6400000,-92.99161019833642,230.17557021600663,31.5
6425000,-79.02087590767994,249.39719816295008,31.5
6450000,-77.92167238553756,274.56723475957136,31.5
6475000,-75.2160863304772,239.70843585362547,31.5
6500000,-86.81948972294347,323.5243147993265,31.5
6525000,-66.7416928417623,275.08533528590425,31.5
6550000,-58.73654998837886,239.72901319989424,31.5
6575000,-75.04040346050326,304.3684822780348,31.5
6600000,-72.74992803118735,340.62846754062053,31.5
6625000,-89.06124848620115,218.74038068219033,31.5
6650000,-89.44545314279577,235.72272595201818,31.5
6675000,-99.67658273511263,216.73637502356763,31.5
6700000,-75.48839863568789,268.1329669936661,31.5
6725000,-87.5761421655842,392.47087644060235,31.5
6750000,-73.64225304025015,338.7755705539809,31.5
6775000,-92.79985948523122,260.76900272998637,31.5
6800000,-79.44067049336257,268.57081693406525,31.5
6825000,-84.38881029005417,277.9446958258528,31.5
6850000,-71.89410641902467,338.206588652798,31.5
6875000,-91.60299903825853,308.0365241749478,31.5
6900000,-83.82165230056563,187.95458342223617,31.5
6925000,-91.1649033830988,392.943339269176,31.5
6950000,-89.11330993174717,335.12664851574954,31.5
6975000,-54.30757277087576,313.1398758565676,31.5
7000000,-89.33735363039172,173.69412142354392,31.5
7025000,-38.9942815751557,198.67262834726407,31.5
7050000,-59.13911394368222,359.06377971115717,31.5
7075000,-54.42594933908074,264.0701850678499,31.5
7100000,-79.80142072352423,242.991822110171,31.5
7125000,-98.87059641409583,239.97902907519372,31.4
7150000,-88.96585642852891,241.51049646672115,31.4
7175000,-84.73042857319446,294.6263725854867,31.3
7200000,-78.68916103811249,354.37638766723603,31.3
7225000,-79.15155785130571,287.5347337325676,31.2
7250000,-88.66492368930668,246.18837944556392,31.2
7275000,-88.52376704056553,329.0684847573913,31.1
7300000,-83.91578014198065,277.66809773211276,31
7325000,-71.91896175104165,283.3096114047793,31
7350000,-77.97517958784708,247.22997050529233,30.9
7375000,-61.225697557317915,415.5252761690966,30.9
7400000,-81.79221573448132,243.78756525442472,30.9
7425000,-89.10120970929309,196.88711005972817,30.9
7450000,-91.36350680984603,289.63330215082203,30.9
7475000,-79.91470458738655,318.2981909687885,30.9
7500000,-94.99601290560044,239.03719991185437,30.9
7525000,-82.48604259303454,366.7298184834805,30.9
7550000,-85.52950189106464,234.73057714656872,30.9
7575000,-76.74064664419492,272.8714398752708,30.9
7600000,-84.47033757505257,240.97084599449062,30.9
7625000,-66.20631437423424,252.21098648947665,30.9
7650000,-102.53583473549291,338.9137413991305,30.9
7675000,-72.83515704245028,251.07768126809864,30.9
7700000,-92.11123224271634,230.56462338563455,30.8
7725000,-88.1775073829491,262.7228744389328,30.8
7750000,-96.85254376064086,234.29902746463353,30.8
7775000,-82.56626484188041,307.7212675382575,30.8
7800000,-59.6920185423085,256.6189233971762,30.8
7825000,-53.56993854695022,293.72726415812855,30.8
7850000,-82.81769904037697,344.59154479842124,30.8
7875000,-98.70939950410605,356.2531428508825,30.8
7900000,-68.70913606485337,232.8202764880401,30.8
7925000,-58.43252661999052,340.5541746319296,30.8
7950000,-88.70043470804,318.2062831201013,30.8
7975000,-77.83412165185543,339.1569830087543,30.8
8000000,-89.50831993612499,272.33515695691113,30.7
8025000,-79.06910415635723,221.46620288907187,30.7
8050000,-94.97381919295601,343.27083515243623,30.7
8075000,-94.16625733718756,301.7003246014023,30.7
8100000,-77.50508163702713,284.5275387771847,30.7
8125000,-86.65621828301516,238.80638848948905,30.7
8150000,-54.7258486016932,253.19880117277322,30.7
8175000,-71.44243114303035,381.35878660772397,30.7
8200000,-110.08762229097765,301.57433641610356,30.7
8225000,-69.36507674789078,255.704353181397,30.7
8250000,-65.30939640822129,349.4475157652017,30.7
8275000,-91.70022626742428,282.3455175715009,30.7
8300000,-75.20118381382518,314.1451119422677,30.7
8325000,-72.79639934836634,297.8371344593897,30.7
8350000,-76.09114580188267,258.740347908479,30.7
8375000,-46.93109274099117,282.2903939322693,30.7
8400000,-88.70746836218363,317.9127203309827,30.7
8425000,-89.76635137718121,281.6188568559908,30.7
8450000,-59.67065286512834,233.0429822154073,30.7
8475000,-77.9934666885282,281.7548823322435,30.7
8500000,-81.44208078376988,292.63167384768053,30.7
8525000,-79.9617857223114,277.6531314472786,30.6
8550000,-85.69075523741836,456.9888925163423,30.6
8575000,-74.25292089453984,231.58228142236808,30.6
8600000,-75.93901024102695,233.7639391797022,30.6
8625000,-80.70335035400484,242.61200153857487,30.6
8650000,-57.82027317531891,195.36231378023226,30.6
8675000,-85.13185340680715,279.3929934188985,30.6
8700000,-72.72713830538571,336.88245565168563,30.6
8725000,-80.10504943594489,206.1016096483587,30.6
8750000,-65.58893776633917,286.03646651271197,30.6
8775000,-51.10806319440911,290.6172549566172,30.6
8800000,-76.50618012476662,303.08018032804773,30.6
8825000,-88.84037605704034,245.93536192940311,30.6
8850000,-68.27298595488969,267.89581693465277,30.6
8875000,-89.0777771987201,249.07364179814587,30.6
8900000,-54.868605726234044,295.7329300704793,30.6
8925000,-69.90219000787546,308.8983302951257,30.6
8950000,-92.42589516995662,275.68629676875855,30.6
8975000,-87.98539819493794,313.3064424401824,30.6
9000000,-99.46084257638944,281.2849071653697,30.6
9025000,-90.41872707692897,257.09535007611487,30.6
9050000,-97.04520443497803,214.6003283281766,30.6
9075000,-86.06593664098287,358.5488336632573,30.6
9100000,-78.00528436875487,408.9164411056542,30.6
9125000,-75.29184026420056,258.73128604375313,30.5
9150000,-87.79996194299167,257.0530782880404,30.5
9175000,-86.32022016345833,376.02021329999786,30.5
9200000,-77.33481149242832,315.8683610477695,30.5
9225000,-64.08653345385046,404.11906527987435,30.5
9250000,-90.43911559085987,346.47783467557144,30.5
9275000,-73.49293676024516,388.92797263431146,30.5
9300000,-67.15751910962888,320.23617591587663,30.5
9325000,-70.13172356780865,243.41369417511552,30.5
9350000,-95.10701780152337,323.5553256724002,30.5
9375000,-88.43307495990167,230.09783962190195,30.5
9400000,-101.13447293783223,257.4166142967928,30.5
9425000,-59.095916018925955,389.7250254819932,30.5
9450000,-76.26979246327576,261.07615720343205,30.5
9475000,-68.65119027907483,213.80484796293504,30.5
9500000,-82.12097166229941,286.2983233908965,30.5
9525000,-95.30996282446489,318.52341431155025,30.5
9550000,-69.45101445294104,229.40781831431562,30.5
9575000,-82.34446937996984,267.73055210429123,30.5
9600000,-64.26402645658565,315.090532453475,30.5
9625000,-64.44869750749191,364.4446445291856,30.5
9650000,-64.64899678890768,337.342992274193,30.5
9675000,-64.85753337232681,268.4670246861295,30.5
9700000,-78.70395570810769,415.0894072632882,30.5
9725000,-90.08801049524753,337.36351920261257,30.5
9750000,-80.5329568102322,322.72970903832396,30.5
9775000,-92.85354188779874,243.39903858239137,30.4
9800000,-82.68996988196656,293.52001809278556,30.4
9825000,-67.97166589203769,299.667663960119,30.4
9850000,-75.76053024868085,358.5655971140379,30.4
9875000,-85.93297109738896,358.94776891320646,30.4
9900000,-57.850002003348834,277.7502838541961,30.4
9925000,-77.44439614212266,235.86308767977178,30.4
9950000,-73.96338322132516,221.7240669859143,30.4
9975000,-58.07248074586602,339.6861808416916,30.4
10000000,-53.35208318468297,277.637571091226,30.4
10025000,-59.541990043486,413.7571813877409,30.4
10050000,-65.5665040268693,374.77753581832013,30.4
10075000,-61.13979878652046,265.23467880388563,30.4
10100000,-71.35888088951293,265.68400244527766,30.4
10125000,-60.57061514749058,287.1245040152458,30.4
10150000,-71.80101348834876,380.07178208024646,30.4
10175000,-71.45589674905747,292.82722081262466,30.4
10200000,-78.32274373627807,280.1178391527406,30.4
10225000,-62.20006548406508,286.3579788756554,30.4
10250000,-60.42173779899926,217.50321128020258,30.4
10275000,-73.94400131240774,324.5051797888862,30.4
10300000,-94.19417222683566,285.401474255762,30.4
10325000,-79.31307538452516,252.924268862412,30.4
10350000,-63.745669019057885,220.1634960711622,30.4
10375000,-69.05421770130577,233.32124502893464,30.3
10400000,-82.27251395644109,260.1030077623022,30.3
10425000,-67.81855740538487,341.12441905880326,30.3
10450000,-70.57095692671976,352.30831116318365,30.3
10475000,-79.61639470409665,296.10465113194545,30.3
10500000,-94.99926919524015,226.86808429025734,30.3
10525000,-43.61949959294812,257.84607735176064,30.3
10550000,-79.52826854808725,351.7109543866016,30.2
10575000,-83.49253141088418,231.15183690727238,30.2
10600000,-63.15419972262376,253.23301437063884,30.1
10625000,-87.80323272300589,290.30194730898825,30.1
10650000,-94.41390440209221,320.05730384476925,30.1
10675000,-77.71247316848022,322.55372143633053,30
10700000,-53.02104753213321,303.18700825553196,30
10725000,-75.27281215722982,245.84794637595886,30
10750000,-82.47258994764663,343.88012917644727,30
10775000,-48.37696490344331,378.422306470911,29.9
10800000,-67.20361238270523,290.58384594636163,29.9
10825000,-68.15785081782408,328.1040556502688,29.9
10850000,-83.25137278716093,237.38419956571317,29.9
10875000,-77.74266390445135,267.8941288551003,29.8
10900000,-79.46251051320155,261.69339708257615,29.8
10925000,-83.08180851878286,318.24839254543406,29.8
10950000,-77.57164723734716,348.926299372231,29.8
10975000,-78.73181821888836,326.45585894799444,29.7
11000000,-60.70434043679872,249.60126089525113,29.7
11025000,-97.10996923597708,287.9649812890917,29.7
11050000,-84.02182855295675,202.07830262382382,29.7
11075000,-76.65452488398965,334.45078375935174,29.7
11100000,-84.11034092697021,209.2275965499604,29.7
11125000,-73.8333378306123,379.99497426733905,29.7
11150000,-56.26688286835855,265.953630019067,29.7
11175000,-81.09703816965978,353.7453159521748,29.7
11200000,-91.68231182561861,287.1957309149742,29.7
11225000,-96.79036071465349,238.14828704177273,29.7
11250000,-71.80447713356412,300.11492338004234,29.7
11275000,-75.10573977853312,284.2257174703897,29.7
11300000,-88.27420964759283,274.5783790549496,29.6
11325000,-92.38046821364739,229.2370579752517,29.6
11350000,-80.59746984617516,254.87361424881695,29.6
11375000,-52.25376600139107,347.27594759698883,29.6
11400000,-67.19298199674446,302.11364849957994,29.6
11425000,-61.09256721578532,274.5537046759388,29.6
11450000,-70.40006665337575,278.75966647287555,29.6
11475000,-90.84905436558074,395.96463535730777,29.6
11500000,-77.13101391287358,204.0404507471355,29.6
11525000,-46.776654393838534,258.86130791156444,29.6
11550000,-59.360743988538374,405.5672985944572,29.6
11575000,-81.67949007872804,259.6586882606321,29.6
11600000,-61.59310640596993,311.3015143505064,29.6
11625000,-64.71482739268644,300.3261885004808,29.6
11650000,-79.54630469493185,317.8304302011231,29.6
11675000,-61.208041587372094,331.3636782843117,29.6
11700000,-58.17058438361917,419.5133386936063,29.5
11725000,-66.3131688984167,279.195317882565,29.5
11750000,-67.68968984623305,239.28270332520353,29.5
11775000,-76.82355108593916,278.60096754205586,29.5
11800000,-64.50222806953263,331.8571452112889,29.5
11825000,-52.464025647660655,304.45359710602554,29.5
11850000,-72.86124841134227,316.3975129781067,29.5
11875000,-78.44474946003382,256.2792460139229,29.5
11900000,-69.65526453899511,261.7646320105573,29.5
11925000,-64.2370074362641,334.15868349516234,29.5
11950000,-76.77475525138736,246.91950334928944,29.5
11975000,-87.62813373474278,227.4135372139537,29.5
12000000,-70.6942241453233,324.95153892499275,29.5
12025000,-94.6886482937167,437.332018554371,29.5
12050000,-66.56384869688392,338.8743623325894,29.5
12075000,-45.499739104728974,262.4421121347904,29.5
12100000,-67.81148186153715,273.9441422953235,29.5
12125000,-74.84396941965284,278.67856256593535,29.4
12150000,-72.67051060242852,331.71796204411737,29.4
12175000,-77.72732923902605,352.5237991150927,29.4
12200000,-45.83606535633098,313.97327093014883,29.4
12225000,-49.60570113909145,288.36492687754185,29.4
12250000,-49.27071132700803,233.97620783332002,29.4
12275000,-66.38267770148036,357.18635691189803,29.4
12300000,-34.18625465628545,304.39200225911964,29.5
12325000,-55.15777073965896,412.6767861430378,29.5
12350000,-66.96602817245392,366.48365646212517,29.5
12375000,-57.90135968214262,226.85782340538626,29.5
12400000,-84.33424263897962,311.56355561791605,29.5
12425000,-72.29966123435429,323.47981909617624,29.5
12450000,-76.80657393204487,305.65791997623984,29.5
12475000,-97.68737998795396,310.06726726885205,29.5
12500000,-68.68700828650628,254.7451500263717,29.5
12525000,-92.18427102313265,238.87854573542663,29.5
12550000,-63.19442481160843,258.1278223026618,29.5
12575000,-96.22231578367384,298.55278052731546,29.5
12600000,-68.10490093376313,333.3629273432826,29.5
12625000,-63.12303406385875,262.4133493373517,29.5
12650000,-70.3763653121774,232.54087623963008,29.5
12675000,-78.99562870443744,324.6640380560807,29.5
12700000,-78.94377166923988,250.16777618456192,29.5
12725000,-56.00115095659681,204.13337623431087,29.5
12750000,-73.19204541114405,389.74526396258426,29.5
12775000,-62.89111102835918,378.52271346089236,29.5
12800000,-75.95156207652622,303.35123225387036,29.5
12825000,-88.59132588555326,203.1287888739062,29.5
12850000,-77.26095550454906,283.30541647823736,29.5
12875000,-84.45628545348768,297.8661385672569,29.5
12900000,-60.462299351889015,274.10693318960494,29.5
12925000,-85.79316406976008,312.69850177426446,29.6
12950000,-77.59121149226914,293.07117912750556,29.6
12975000,-70.09967399844716,304.30736997505454,29.6
13000000,-43.31372829108174,332.70005348003326,29.6
13025000,-75.08101295865352,391.5047000443383,29.6
13050000,-32.66069548580211,298.7811076211831,29.6
13075000,-66.41879380044898,295.315307800831,29.6
13100000,-78.6230872222104,341.711146598858,29.6
13125000,-79.9440316374352,286.2184831767105,29.6
13150000,-95.56471219389257,402.33858467378076,29.5
13175000,-91.70466261513266,409.28229979123597,29.5
13200000,-70.39556027953982,259.5413202184219,29.5
13225000,-39.280240065259804,267.5735861996588,29.5
13250000,-34.68432142104017,302.73938904499215,29.5
13275000,-72.4462543628471,285.8891459576082,29.4
13300000,-74.83130875690398,301.4230529233714,29.4
13325000,-61.52174114140265,331.3963411094374,29.4
13350000,-78.17272243724601,249.82827762227896,29.4
13375000,-66.44424573098487,257.82052053252886,29.3
13400000,-74.78777036388597,341.20836046815447,29.3
13425000,-75.85970642921498,466.4671407838506,29.3
13450000,-44.26126501041582,327.20649076017577,29.3
13475000,-87.67455982952958,211.7909312983316,29.3
13500000,-89.67186987493416,331.60339401141795,29.3
13525000,-76.32964715349351,373.80332277617225,29.3
13550000,-45.13777618875252,281.80104021362996,29.3
13575000,-85.91536952315823,282.5237629952736,29.3
13600000,-55.352279359645145,300.2910563519309,29.3
13625000,-84.39163127963303,268.9523329798124,29.3
13650000,-82.61854526571561,390.23239749406747,29.3
13675000,-75.56993838635465,331.5540298030781,29.3
13700000,-49.52681863349086,400.1174825528292,29.3
13725000,-72.04461079318577,286.89019613188674,29.3
13750000,-97.35154110117168,316.40283489695656,29.3
13775000,-78.42589670921717,266.2553540424468,29.3
13800000,-91.93860322561025,365.8663202445904,29.3
13825000,-72.8961331082551,285.37348561607564,29.3
13850000,-68.36589426692531,226.47167751643806,29.3
13875000,-57.90676770515485,234.75470274283632,29.3
13900000,-85.43114627834818,345.14189379644864,29.3
13925000,-68.66741579321251,367.9838854135969,29.3
13950000,-83.44370892544595,224.24837201743358,29.3
13975000,-71.99658829918238,262.7924374833402,29.3
14000000,-73.56423614012401,259.4762871117766,29.3
