#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,-91.59389894049608,296.6489935322747,0
50000,-78.54438473954804,246.1666378294158,233
75000,-83.90621460394547,268.44130159489947,231
100000,-57.381117326602286,255.87247537514259,233
125000,-86.88205208678347,310.9101172413359,233
150000,-91.06027008717341,280.67139143742776,233
175000,-62.49902325731032,324.684531672926,234
200000,-80.42221186210611,217.70256379485977,234
225000,-85.90483358114835,215.24520990196726,235
250000,-76.5899471132935,405.2753734382044,235
275000,-42.28530515505628,420.65052390837934,235
300000,-84.9760862911713,342.1786871577426,236
325000,-68.68212669966417,298.4828619433335,236
350000,-82.49425155523122,272.58291337305593,235
375000,-54.545741049810175,270.63023246481777,236
400000,-60.19773613043902,375.62303102360835,236
425000,-82.74244464403505,258.8513655713731,236
450000,-94.96905996621874,236.65226586319636,235
475000,-87.80212611417934,421.28882994061445,235
500000,-82.34676394592752,257.6335813924923,235
525000,-60.22737780142411,282.4642030098042,235
550000,-85.03123480911137,305.3867006279132,235
575000,-94.56222287407442,244.97167042737593,235
600000,-83.2139739432777,434.3627606301843,235
625000,-70.26779929752267,299.3113665402968,235
650000,-73.55259565975848,366.09817540884393,235
675000,-53.03988447834209,343.3461388222946,235
700000,-91.43542598545173,255.593668441959,234
725000,-55.05526367928776,223.90492548133912,234
750000,-100.93249659301884,247.00236141021807,233
775000,-68.52973770485923,275.6587090542885,233
800000,-91.52916791484718,229.49343525574776,233
825000,-81.5453966914406,278.8450281971964,233
850000,-111.6752634368197,224.2320842776,233
875000,-68.5111371423519,348.6719814495318,232
900000,-67.69178246069575,327.39389532044976,232
925000,-56.90022595090875,177.96440631889638,232
950000,-101.76772540533534,471.5155278571785,232
975000,-69.86446490821425,355.4630242627746,232
1000000,-76.22972376333388,347.86110677068797,232
1025000,-82.86812577491912,216.5364363022407,232
1050000,-98.77838355663185,233.37209961179357,232
1075000,-79.60778937056499,337.4348956947852,232
1100000,-73.99081575581009,312.67358080345304,232
1125000,-83.63996781765707,354.27873445095895,232
1150000,-89.87852735217216,220.09084561237492,232
1175000,-73.81956107768252,375.81239864729747,232
1200000,-87.49869551669273,366.82562392810206,232
1225000,-91.42290720324817,251.3266003709092,233
1250000,-76.47289798605728,301.4805646670901,233
1275000,-96.28967478917887,289.2948267026429,233
1300000,-94.43420782648712,304.3643101012979,233
1325000,-85.52057384082708,299.12722915715955,233
1350000,-88.156640611446,279.3217710387764,232
1375000,-79.82438753418039,364.02523792966923,232
1400000,-70.2999167827229,308.5793094051571,232
1425000,-86.4733042252717,402.0705215942578,232
1450000,-73.4122186942108,275.9844246547949,232
1475000,-75.78738106043009,388.90357718292717,232
1500000,-82.74732692770016,313.27916064505825,232
1525000,-75.0154487452522,325.1160159767823,232
1550000,-89.99705657851314,368.76672717626127,232
1575000,-78.12482580173534,214.52926640358237,232
1600000,-48.212391507652455,351.0853781009427,232
1625000,-69.19658569602892,305.94522431370547,232
1650000,-82.89218483535166,347.42266711536206,232
1675000,-85.78368915709417,285.91638135350803,233
1700000,-90.19916754695028,227.04280117410886,233
1725000,-69.78216527825546,361.8428044086605,233
1750000,-76.98092528022838,336.0006768608465,233
1775000,-68.79623239757842,332.58671620971927,233
1800000,-85.53638207722139,262.5939365034026,233
1825000,-72.108029179587,427.3135166840167,233
1850000,-76.84455594703,184.70205286169818,233
1875000,-84.65731430797186,244.63179157227782,233
1900000,-78.18068763460451,344.76290250817124,233
1925000,-71.80011969237412,447.76713569486503,233
1950000,-80.32536980562827,349.710441292429,234
1975000,-69.4153075754932,289.3552174694671,234
2000000,-74.09576244207695,255.16714060864692,234
2025000,-59.38632110248596,262.157058997814,234
2050000,-85.80150769439804,244.2769378241358,234
2075000,-57.321075487775445,384.3320007236945,234
2100000,-70.86369109560746,380.8642719431799,234
2125000,-89.05202501599688,307.2178728827892,234
2150000,-79.8679189665792,320.1385570614231,234
2175000,-78.38817504503663,218.04561689430537,234
2200000,-69.19048110184968,306.98089946072713,234
2225000,-100.98539620197855,400.19323148539996,234
2250000,-67.5152468664601,382.36095232078975,234
2275000,-69.39884162736321,346.6847242483532,234
2300000,-79.11515961979975,331.9504553768288,234
2325000,-73.70522938066748,264.9040127636337,234
2350000,-69.8580843663766,277.4956148856074,234
2375000,-64.67876789261862,325.7096110920007,234
2400000,-67.70980682953086,163.35335635114524,234
2425000,-66.75331147108756,338.2988102035804,234
2450000,-70.34935034545379,325.06156456545403,234
2475000,-75.5169582598071,275.4061063240918,235
2500000,-42.19084059076669,326.6702483355568,235
2525000,-90.65629582203374,282.48799018657655,235
2550000,-94.81402739140853,314.09514819003914,235
2575000,-68.9056741736483,345.53819800144413,235
2600000,-91.52467076500042,320.44168957407675,235
2625000,-80.17476931284565,299.00606164978046,235
2650000,-76.0571565643902,316.6992762474101,235
2675000,-82.65447692407807,302.0830147508729,235
2700000,-55.895543973715185,325.2837167836768,235
2725000,-79.2694397145955,207.33297641939174,235
2750000,-85.28894428763975,399.2991343327803,235
2775000,-90.67629877797239,294.99386674990757,235
