system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,vae,100,6,3,2,1,0.0,13,0.07336644071339961,1,0.0,4,0.2866517722181668,2,0.6364122482797525,0.37947632298848993
alanine,short,vae,100,7,3,2,1,0.0,1,0.0,1,0.0,6,0.14539423115821837,3,0.08275281778334377,0.08275281778334377
alanine,short,pca,250,0,3,2,4,0.599755201518716,9,0.2865375612855032,3,0.6920872257303674,3,0.6920872257303674,2,0.905927744927326,0.6920872257303674
alanine,short,pca,250,1,3,2,3,0.48444013182490153,6,0.21968296891735312,3,0.48444013182490153,3,0.48444013182490153,3,0.48444013182490153,0.48444013182490153
alanine,short,pca,250,2,3,2,4,0.5698818469378342,7,0.39083445676284045,4,0.5698818469378342,3,0.6129181125953168,2,0.8310708233368713,0.6129181125953168
alanine,short,pca,250,3,3,2,5,0.6597012313650006,5,0.6597012313650006,3,0.7948944427973526,3,0.7948944427973526,2,0.952067698618261,0.7948944427973526
alanine,short,pca,250,4,3,2,4,0.42436610689340576,5,0.4116965047252573,3,0.8758053334437892,3,0.8758053334437892,2,0.9342120457699087,0.8758053334437892
alanine,short,pca,250,5,3,1,5,0.0,6,0.0,2,0.0,2,0.0,2,0.0,0.0
alanine,short,pca,250,6,3,2,3,0.6353167480582709,6,0.32656736545632953,3,0.6353167480582709,3,0.6353167480582709,2,0.8906160860163805,0.6353167480582709
alanine,short,pca,250,7,3,2,4,0.5863578064954728,8,0.2511050064612179,3,0.6867110397062198,3,0.6867110397062198,2,0.9058472169791145,0.6867110397062198
alanine,short,tica,250,0,3,2,2,0.983999998166739,2,0.983999998166739,2,0.983999998166739,3,0.7046828462163582,2,0.983999998166739,0.7046828462163582
alanine,short,tica,250,1,3,2,2,0.7822647412082969,15,0.07656985206441502,2,0.7822647412082969,2,0.7822647412082969,2,0.7822647412082969,0.6008479080531378
alanine,short,tica,250,2,3,2,1,0.0,1,0.0,1,0.0,5,0.0595481136415243,2,0.016817105572508127,0.046804797981817935
alanine,short,tica,250,3,3,2,2,0.8745224155465765,2,0.8745224155465765,2,0.8745224155465765,2,0.8745224155465765,2,0.8745224155465765,0.5752299104222268
alanine,short,tica,250,4,3,2,3,0.7731453365368013,13,0.25770662751197,2,1.0,2,1.0,2,1.0,0.7731453365368013
alanine,short,tica,250,5,3,1,2,0.0,14,0.0,2,0.0,2,0.0,2,0.0,0.0
alanine,short,tica,250,6,3,2,2,0.9212095974206956,4,0.4632180320975438,2,0.9212095974206956,2,0.9212095974206956,2,0.9212095974206956,0.8709148051737592
alanine,short,tica,250,7,3,2,2,0.9367035020168575,13,0.20302686596039707,2,0.9367035020168575,2,0.9367035020168575,2,0.9367035020168575,0.8247041636490274
alanine,short,vae,250,0,3,2,1,0.0,2,0.8310683290677933,1,0.0,4,0.4587885589879,2,0.8310683290677933,0.6665138407137629
alanine,short,vae,250,1,3,2,1,0.0,1,0.0,1,0.0,7,0.1753886068710515,2,0.09487651700610793,0.2651075426028901
alanine,short,vae,250,2,3,2,1,0.0,2,0.745479540813979,1,0.0,4,0.403765445680971,2,0.745479540813979,0.45116341172597973
alanine,short,vae,250,3,3,2,1,0.0,1,0.0,1,0.0,2,0.8012250339099647,2,0.8012250339099647,0.49189784872430214
alanine,short,vae,250,4,3,2,1,0.0,2,0.8713227757277573,1,0.0,2,0.8713227757277573,2,0.8713227757277573,0.5907915078494285
alanine,short,vae,250,5,3,1,1,1.0,4,0.0,1,1.0,6,0.0,3,0.0,0.0
alanine,short,vae,250,6,3,2,1,0.0,1,0.0,1,0.0,5,0.2919904504035891,2,0.6127371314857214,0.4273317623736563
alanine,short,vae,250,7,3,2,1,0.0,1,0.0,1,0.0,4,0.4143111859908647,2,0.6257315157551522,0.5059083162395717
alanine,short,pca,500,0,3,2,5,0.5930222393078021,7,0.39884328888763826,4,0.6915193234643959,3,0.7878223855427768,2,0.9291390380262856,0.7878223855427768
alanine,short,pca,500,1,3,2,4,0.4515583500532882,8,0.17129201759255186,3,0.47657224571348294,3,0.47657224571348294,3,0.47657224571348294,0.47657224571348294
alanine,short,pca,500,2,3,2,5,0.6135908630002561,7,0.5436129959776663,4,0.7019732903873769,3,0.7961926747987474,2,0.9291284074026975,0.7961926747987474
