potential,mode,method,n_frames,seed,k_true,k_bic,hit_ceiling_bic
prinz1d,iid_equilibrium,exact_latent,4000,0,4,5,0
prinz1d,iid_equilibrium,exact_latent,8000,0,4,4,0
prinz1d,iid_equilibrium,exact_latent,16000,0,4,7,0
prinz1d,iid_equilibrium,exact_latent,32000,0,4,7,0
prinz1d,iid_equilibrium,exact_latent,250,1,4,4,0
prinz1d,iid_equilibrium,exact_latent,500,1,4,4,0
prinz1d,iid_equilibrium,exact_latent,1000,1,4,4,0
prinz1d,iid_equilibrium,exact_latent,2000,1,4,4,0
prinz1d,iid_equilibrium,exact_latent,4000,1,4,4,0
prinz1d,iid_equilibrium,exact_latent,8000,1,4,5,0
prinz1d,iid_equilibrium,exact_latent,16000,1,4,7,0
prinz1d,iid_equilibrium,exact_latent,32000,1,4,7,0
prinz1d,iid_equilibrium,exact_latent,250,2,4,4,0
prinz1d,iid_equilibrium,exact_latent,500,2,4,4,0
prinz1d,iid_equilibrium,exact_latent,1000,2,4,4,0
prinz1d,iid_equilibrium,exact_latent,2000,2,4,4,0
prinz1d,iid_equilibrium,exact_latent,4000,2,4,4,0
prinz1d,iid_equilibrium,exact_latent,8000,2,4,5,0
prinz1d,iid_equilibrium,exact_latent,16000,2,4,7,0
prinz1d,iid_equilibrium,exact_latent,32000,2,4,7,0
prinz1d,iid_equilibrium,exact_latent,250,3,4,4,0
prinz1d,iid_equilibrium,exact_latent,500,3,4,4,0
prinz1d,iid_equilibrium,exact_latent,1000,3,4,4,0
prinz1d,iid_equilibrium,exact_latent,2000,3,4,4,0
prinz1d,iid_equilibrium,exact_latent,4000,3,4,4,0
prinz1d,iid_equilibrium,exact_latent,8000,3,4,5,0
prinz1d,iid_equilibrium,exact_latent,16000,3,4,6,0
prinz1d,iid_equilibrium,exact_latent,32000,3,4,7,0
prinz1d,iid_equilibrium,exact_latent,250,4,4,4,0
prinz1d,iid_equilibrium,exact_latent,500,4,4,4,0
prinz1d,iid_equilibrium,exact_latent,1000,4,4,4,0
prinz1d,iid_equilibrium,exact_latent,2000,4,4,4,0
prinz1d,iid_equilibrium,exact_latent,4000,4,4,4,0
prinz1d,iid_equilibrium,exact_latent,8000,4,4,5,0
prinz1d,iid_equilibrium,exact_latent,16000,4,4,7,0
prinz1d,iid_equilibrium,exact_latent,32000,4,4,7,0
prinz1d,iid_equilibrium,exact_latent,250,5,4,4,0
prinz1d,iid_equilibrium,exact_latent,500,5,4,4,0
prinz1d,iid_equilibrium,exact_latent,1000,5,4,4,0
prinz1d,iid_equilibrium,exact_latent,2000,5,4,4,0
prinz1d,iid_equilibrium,exact_latent,4000,5,4,4,0
prinz1d,iid_equilibrium,exact_latent,8000,5,4,5,0
prinz1d,iid_equilibrium,exact_latent,16000,5,4,5,0
prinz1d,iid_equilibrium,exact_latent,32000,5,4,7,0
prinz1d,iid_equilibrium,exact_latent,250,6,4,4,0
prinz1d,iid_equilibrium,exact_latent,500,6,4,4,0
prinz1d,iid_equilibrium,exact_latent,1000,6,4,4,0
prinz1d,iid_equilibrium,exact_latent,2000,6,4,4,0
prinz1d,iid_equilibrium,exact_latent,4000,6,4,4,0
prinz1d,iid_equilibrium,exact_latent,8000,6,4,5,0
prinz1d,iid_equilibrium,exact_latent,16000,6,4,5,0
prinz1d,iid_equilibrium,exact_latent,32000,6,4,7,0
prinz1d,iid_equilibrium,exact_latent,250,7,4,4,0
prinz1d,iid_equilibrium,exact_latent,500,7,4,4,0
prinz1d,iid_equilibrium,exact_latent,1000,7,4,4,0
prinz1d,iid_equilibrium,exact_latent,2000,7,4,4,0
prinz1d,iid_equilibrium,exact_latent,4000,7,4,4,0
prinz1d,iid_equilibrium,exact_latent,8000,7,4,5,0
prinz1d,iid_equilibrium,exact_latent,16000,7,4,7,0
prinz1d,iid_equilibrium,exact_latent,32000,7,4,7,0
prinz1d,iid_equilibrium,exact_latent,250,8,4,4,0
prinz1d,iid_equilibrium,exact_latent,500,8,4,4,0
prinz1d,iid_equilibrium,exact_latent,1000,8,4,4,0
prinz1d,iid_equilibrium,exact_latent,2000,8,4,5,0
prinz1d,iid_equilibrium,exact_latent,4000,8,4,5,0
prinz1d,iid_equilibrium,exact_latent,8000,8,4,6,0
prinz1d,iid_equilibrium,exact_latent,16000,8,4,7,0
prinz1d,iid_equilibrium,exact_latent,32000,8,4,7,0
prinz1d,iid_equilibrium,exact_latent,250,9,4,4,0
prinz1d,iid_equilibrium,exact_latent,500,9,4,4,0
prinz1d,iid_equilibrium,exact_latent,1000,9,4,4,0
prinz1d,iid_equilibrium,exact_latent,2000,9,4,4,0
prinz1d,iid_equilibrium,exact_latent,4000,9,4,5,0
prinz1d,iid_equilibrium,exact_latent,8000,9,4,5,0
prinz1d,iid_equilibrium,exact_latent,16000,9,4,5,0
prinz1d,iid_equilibrium,exact_latent,32000,9,4,7,0
