potential,method,n_frames,dim,seed,k_true,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k,degenerate_embedding,runtime_s
prinz1d,pca,1000,5,4,4,8,0.5903133505677415,15,0.35994786415647273,8,0.5903133505677415,4,0.9609575760940426,2,0.4881102778647455,0.9609575760940426,False,2.3811757564544678
prinz1d,pca,1000,5,5,4,8,0.5832356375982622,15,0.3757430341280078,8,0.5832356375982622,4,0.9452057567101966,2,0.4997928901977499,0.9452057567101966,False,2.240450859069824
prinz1d,pca,1000,5,6,4,8,0.5349439843673086,15,0.3576177780881934,7,0.6008169722979452,4,0.9498698924580139,2,0.4686318121790315,0.9498698924580139,False,2.385362148284912
prinz1d,pca,1000,5,7,4,9,0.5003961754655846,15,0.33968509560519783,7,0.6696132855108726,4,0.9847049621222984,2,0.4940146277845153,0.9847049621222984,False,2.3515865802764893
prinz1d,pca,1000,5,8,4,9,0.5028066896574684,14,0.407889647176411,8,0.550031845695294,4,0.9089280103545139,2,0.4822982002717356,0.9089280103545139,False,2.0184037685394287
prinz1d,pca,1000,5,9,4,9,0.5651937010266499,14,0.42193228999905696,7,0.6677128254334909,4,0.9730260656033103,2,0.5145525879473365,0.9730260656033103,False,2.17801570892334
prinz1d,pca,2000,2,0,4,12,0.3969600740636009,14,0.3681768752478427,8,0.5516132303296128,4,0.8948458421658823,2,0.4748592537501456,0.8948458421658823,False,2.447866916656494
prinz1d,pca,2000,2,1,4,10,0.46359564732604547,15,0.3273545356305122,7,0.5727976301758997,4,0.8824615198863652,2,0.5035705139810106,0.8824615198863652,False,2.590963363647461
prinz1d,pca,2000,2,2,4,12,0.4226475893377152,15,0.35989277716051205,7,0.5723042713205719,4,0.8776787285386036,2,0.494047130685464,0.8776787285386036,False,2.5717952251434326
prinz1d,pca,2000,2,3,4,11,0.4426648274262413,14,0.36784784888371014,6,0.713337139503637,4,0.932092344853483,2,0.4781397077556565,0.932092344853483,False,2.6159067153930664
prinz1d,pca,2000,2,4,4,11,0.4380698267189414,15,0.35572311663775574,6,0.6439993417669264,4,0.8809934976579239,2,0.48420837489764157,0.8809934976579239,False,2.8110814094543457
prinz1d,pca,2000,2,5,4,11,0.46724697484373273,15,0.34808068957926025,5,0.8082422153170317,4,0.920036810549751,2,0.499979910347995,0.920036810549751,False,2.5683975219726562
prinz1d,pca,2000,2,6,4,11,0.42240085231054564,15,0.3388123876350002,5,0.7401813898396431,4,0.8313265672442156,3,0.7545286659207782,0.8313265672442156,False,2.644181251525879
prinz1d,pca,2000,2,7,4,13,0.40284264374018713,13,0.40284264374018713,6,0.6929471230958939,4,0.9222792390203866,2,0.4884282846582768,0.9222792390203866,False,2.803550958633423
prinz1d,pca,2000,2,8,4,11,0.45017375069294907,15,0.3417587572641476,6,0.6809334021624827,4,0.9168343895134172,2,0.48456258311888606,0.9168343895134172,False,2.6448585987091064
prinz1d,pca,2000,2,9,4,11,0.4510798285201473,15,0.39002624497870453,6,0.6912300685618129,4,0.9590551006005711,2,0.5145040102633974,0.9590551006005711,False,2.284219980239868
prinz1d,pca,2000,3,0,4,12,0.42966872656793886,15,0.3575333204520053,9,0.49236878906004056,4,0.9326907879858406,2,0.4757979012862945,0.9326907879858406,False,2.9112696647644043
prinz1d,pca,2000,3,1,4,12,0.4063671080021046,15,0.34409547771857296,7,0.6027794118545045,4,0.8954724813947634,2,0.5046520597270103,0.8954724813947634,False,2.542316198348999
prinz1d,pca,2000,3,2,4,11,0.47269058867641306,15,0.3682816452374445,8,0.5389317312277748,4,0.9178387411647075,2,0.4950852735499617,0.9178387411647075,False,2.776118278503418
prinz1d,pca,2000,3,3,4,12,0.4323316218126357,15,0.34756933097813575,8,0.5981501007397976,4,0.9477931462900784,2,0.4781397077556565,0.9477931462900784,False,3.230482578277588
prinz1d,pca,2000,3,4,4,11,0.4355790851733503,15,0.3440442795702355,10,0.5057863411939569,4,0.8987327303236347,2,0.4851433552788106,0.8987327303236347,False,2.6765482425689697
prinz1d,pca,2000,3,5,4,11,0.47128004051840644,15,0.38936369939923493,8,0.5809403247900878,4,0.9492408635660775,2,0.5010174252907686,0.9492408635660775,False,2.8397202491760254
prinz1d,pca,2000,3,6,4,12,0.40451720908124,15,0.3471381480256276,8,0.5037392135783326,4,0.9124062965824489,2,0.4628539791026639,0.9124062965824489,False,2.8084537982940674
prinz1d,pca,2000,3,7,4,12,0.42654835740685104,15,0.35590026145022163,9,0.5415274875904779,4,0.9367991033219908,2,0.4884282846582768,0.9367991033219908,False,2.7524917125701904
prinz1d,pca,2000,3,8,4,12,0.4472866083505641,15,0.3763875203344477,9,0.5144079739711386,4,0.933144445806835,2,0.48657478724420816,0.933144445806835,False,2.9915685653686523
prinz1d,pca,2000,3,9,4,11,0.47359060653592683,15,0.36213521428741097,8,0.5596781269316063,4,0.960844656343319,2,0.5155944381514436,0.960844656343319,False,2.6534883975982666
prinz1d,pca,2000,5,0,4,9,0.4640040212124146,14,0.3611381567444386,8,0.5117498987506638,4,0.9499909049706021,2,0.4748592537501456,0.9499909049706021,False,3.0748391151428223
prinz1d,pca,2000,5,1,4,11,0.4514141692482529,15,0.3516043203524117,7,0.6087124072102713,4,0.9414774215310592,2,0.5046520597270103,0.9414774215310592,False,2.8187406063079834
prinz1d,pca,2000,5,2,4,11,0.4482823301757114,15,0.34851116673731314,8,0.5696724046048182,4,0.9409714222512842,2,0.494047130685464,0.9409714222512842,False,3.157862424850464
prinz1d,pca,2000,5,3,4,11,0.4762406885460531,15,0.34991678859166686,9,0.5387032749568216,4,0.9551259230693959,2,0.4781397077556565,0.9551259230693959,False,3.4340639114379883
prinz1d,pca,2000,5,4,4,11,0.43834300248527436,15,0.3749765178589049,8,0.5510959426253083,4,0.9293560793786066,2,0.4851433552788106,0.9293560793786066,False,3.204482316970825
prinz1d,pca,2000,5,5,4,11,0.4771000133380238,15,0.37950064265528866,7,0.6729727413502625,4,0.9777410638678123,2,0.5010174252907686,0.9777410638678123,False,2.9869210720062256
prinz1d,pca,2000,5,6,4,9,0.47179217489040565,15,0.351640493776639,8,0.5096036389977269,4,0.9379788119583029,2,0.4628539791026639,0.9379788119583029,False,3.0930190086364746
prinz1d,pca,2000,5,7,4,10,0.48311825690228605,14,0.3820782321845288,9,0.5638378446223662,4,0.955490350529373,2,0.4884282846582768,0.955490350529373,False,3.0804171562194824
prinz1d,pca,2000,5,8,4,9,0.5116337188007138,14,0.3763884421918292,8,0.5667858827045605,4,0.9651547691142179,2,0.48657478724420816,0.9651547691142179,False,3.003352642059326
prinz1d,pca,2000,5,9,4,9,0.534107030581093,15,0.4064566753489052,9,0.534107030581093,4,0.9703582546129478,2,0.5155944381514436,0.9703582546129478,False,3.185131788253784
